X Methods Precision
1.0 MDS  0.14507772020725387
2.0 MDS  0.12435233160621761
3.0 MDS  0.15803108808290156
4.0 MDS  0.14507772020725387
5.0 MDS  0.13212435233160622
6.0 MDS  0.14766839378238342
7.0 MDS  0.11658031088082901
8.0 MDS  0.13471502590673576
9.0 MDS  0.12953367875647667
10.0 MDS  0.11917098445595854
11.0 MDS  0.14507772020725387
12.0 MDS  0.16580310880829016
13.0 MDS  0.11398963730569948
14.0 MDS  0.15803108808290156
15.0 MDS  0.15544041450777202
16.0 MDS  0.12435233160621761
17.0 MDS  0.13989637305699482
18.0 MDS  0.19170984455958548
19.0 MDS  0.14766839378238342
20.0 MDS  0.12176165803108809
21.0 MDS  0.13989637305699482
22.0 MDS  0.12694300518134716
23.0 MDS  0.14507772020725387
24.0 MDS  0.16321243523316062
25.0 MDS  0.14248704663212436
26.0 MDS  0.16839378238341968
27.0 MDS  0.15284974093264247
28.0 MDS  0.13212435233160622
29.0 MDS  0.16062176165803108
30.0 MDS  0.17616580310880828
31.0 MDS  0.14507772020725387
32.0 MDS  0.15025906735751296
33.0 MDS  0.13212435233160622
34.0 MDS  0.14507772020725387
35.0 MDS  0.16321243523316062
36.0 MDS  0.11398963730569948
37.0 MDS  0.14766839378238342
38.0 MDS  0.16839378238341968
39.0 MDS  0.15025906735751296
40.0 MDS  0.12435233160621761
41.0 MDS  0.16580310880829016
42.0 MDS  0.12176165803108809
43.0 MDS  0.14766839378238342
44.0 MDS  0.11398963730569948
45.0 MDS  0.15284974093264247
46.0 MDS  0.14248704663212436
47.0 MDS  0.16839378238341968
48.0 MDS  0.13212435233160622
49.0 MDS  0.18393782383419688
