X   Methods	svd_solver	Precision
1.0	PCA	auto	0.1511627906976744
2.0	PCA	auto	0.21705426356589147
3.0	PCA	auto	0.26356589147286824
4.0	PCA	auto	0.2596899224806202
5.0	PCA	auto	0.39147286821705424
6.0	PCA	auto	0.49224806201550386
7.0	PCA	auto	0.4883720930232558
8.0	PCA	auto	0.5038759689922481
9.0	PCA	auto	0.5116279069767442
10.0	PCA	auto	0.5193798449612403
11.0	PCA	auto	0.5387596899224806
12.0	PCA	auto	0.5271317829457365
13.0	PCA	auto	0.5310077519379846
14.0	PCA	auto	0.5348837209302325
15.0	PCA	auto	0.5465116279069767
16.0	PCA	auto	0.5581395348837209
17.0	PCA	auto	0.562015503875969
18.0	PCA	auto	0.5658914728682171
19.0	PCA	auto	0.5775193798449613
20.0	PCA	auto	0.5930232558139535
21.0	PCA	auto	0.6046511627906976
22.0	PCA	auto	0.5968992248062015
23.0	PCA	auto	0.5813953488372093
24.0	PCA	auto	0.5968992248062015
25.0	PCA	auto	0.5930232558139535
26.0	PCA	auto	0.5930232558139535
27.0	PCA	auto	0.5930232558139535
28.0	PCA	auto	0.5968992248062015
29.0	PCA	auto	0.6007751937984496
30.0	PCA	auto	0.6085271317829457
31.0	PCA	auto	0.6085271317829457
32.0	PCA	auto	0.6085271317829457
33.0	PCA	auto	0.6085271317829457
34.0	PCA	auto	0.6085271317829457
35.0	PCA	auto	0.6085271317829457
36.0	PCA	auto	0.6085271317829457
37.0	PCA	auto	0.6085271317829457
38.0	PCA	auto	0.6085271317829457
39.0	PCA	auto	0.6085271317829457
40.0	PCA	auto	0.6085271317829457
41.0	PCA	auto	0.6085271317829457
42.0	PCA	auto	0.6085271317829457
43.0	PCA	auto	0.6085271317829457
44.0	PCA	auto	0.6085271317829457
45.0	PCA	auto	0.6085271317829457
46.0	PCA	auto	0.6085271317829457
47.0	PCA	auto	0.6085271317829457
48.0	PCA	auto	0.6085271317829457
49.0	PCA	auto	0.6085271317829457
50.0	PCA	auto	0.6085271317829457
51.0	PCA	auto	0.6085271317829457
52.0	PCA	auto	0.6085271317829457
53.0	PCA	auto	0.6085271317829457
54.0	PCA	auto	0.6085271317829457
55.0	PCA	auto	0.6085271317829457
56.0	PCA	auto	0.6085271317829457
57.0	PCA	auto	0.6085271317829457
58.0	PCA	auto	0.6085271317829457
59.0	PCA	auto	0.6085271317829457
60.0	PCA	auto	0.6085271317829457
61.0	PCA	auto	0.6085271317829457
62.0	PCA	auto	0.6085271317829457
63.0	PCA	auto	0.6085271317829457
64.0	PCA	auto	0.6085271317829457
65.0	PCA	auto	0.6085271317829457
66.0	PCA	auto	0.6085271317829457
67.0	PCA	auto	0.6085271317829457
68.0	PCA	auto	0.6085271317829457
69.0	PCA	auto	0.6085271317829457
70.0	PCA	auto	0.6085271317829457
71.0	PCA	auto	0.6085271317829457
72.0	PCA	auto	0.6085271317829457
73.0	PCA	auto	0.6085271317829457
74.0	PCA	auto	0.6085271317829457
75.0	PCA	auto	0.6085271317829457
76.0	PCA	auto	0.6085271317829457
77.0	PCA	auto	0.6085271317829457
78.0	PCA	auto	0.6085271317829457
79.0	PCA	auto	0.6085271317829457
80.0	PCA	auto	0.6085271317829457
81.0	PCA	auto	0.6085271317829457
82.0	PCA	auto	0.6085271317829457
83.0	PCA	auto	0.6085271317829457
84.0	PCA	auto	0.6085271317829457
85.0	PCA	auto	0.6085271317829457
86.0	PCA	auto	0.6085271317829457
87.0	PCA	auto	0.6085271317829457
88.0	PCA	auto	0.6085271317829457
89.0	PCA	auto	0.6085271317829457
90.0	PCA	auto	0.6085271317829457
91.0	PCA	auto	0.6085271317829457
92.0	PCA	auto	0.6085271317829457
93.0	PCA	auto	0.6085271317829457
94.0	PCA	auto	0.6085271317829457
95.0	PCA	auto	0.6085271317829457
96.0	PCA	auto	0.6085271317829457
97.0	PCA	auto	0.6085271317829457
98.0	PCA	auto	0.6085271317829457
99.0	PCA	auto	0.6085271317829457
100.0	PCA	auto	0.6085271317829457
101.0	PCA	auto	0.6085271317829457
102.0	PCA	auto	0.6085271317829457
103.0	PCA	auto	0.6085271317829457
104.0	PCA	auto	0.6085271317829457
105.0	PCA	auto	0.6085271317829457
106.0	PCA	auto	0.6085271317829457
107.0	PCA	auto	0.6085271317829457
108.0	PCA	auto	0.6085271317829457
109.0	PCA	auto	0.6085271317829457
110.0	PCA	auto	0.6085271317829457
111.0	PCA	auto	0.6085271317829457
112.0	PCA	auto	0.6085271317829457
113.0	PCA	auto	0.6085271317829457
114.0	PCA	auto	0.6085271317829457
115.0	PCA	auto	0.6085271317829457
116.0	PCA	auto	0.6085271317829457
117.0	PCA	auto	0.6085271317829457
118.0	PCA	auto	0.6085271317829457
119.0	PCA	auto	0.6085271317829457
120.0	PCA	auto	0.6085271317829457
121.0	PCA	auto	0.6085271317829457
122.0	PCA	auto	0.6085271317829457
123.0	PCA	auto	0.6085271317829457
124.0	PCA	auto	0.6085271317829457
125.0	PCA	auto	0.6085271317829457
126.0	PCA	auto	0.6085271317829457
127.0	PCA	auto	0.6085271317829457
128.0	PCA	auto	0.6085271317829457
129.0	PCA	auto	0.6085271317829457
130.0	PCA	auto	0.6085271317829457
131.0	PCA	auto	0.6085271317829457
132.0	PCA	auto	0.6085271317829457
133.0	PCA	auto	0.6085271317829457
134.0	PCA	auto	0.6085271317829457
135.0	PCA	auto	0.6085271317829457
1.0	PCA	full	0.1511627906976744
2.0	PCA	full	0.21705426356589147
3.0	PCA	full	0.26356589147286824
4.0	PCA	full	0.2596899224806202
5.0	PCA	full	0.39147286821705424
6.0	PCA	full	0.4844961240310077
7.0	PCA	full	0.4883720930232558
8.0	PCA	full	0.5038759689922481
9.0	PCA	full	0.5155038759689923
10.0	PCA	full	0.5193798449612403
11.0	PCA	full	0.5387596899224806
12.0	PCA	full	0.5271317829457365
13.0	PCA	full	0.5310077519379846
14.0	PCA	full	0.5348837209302325
15.0	PCA	full	0.5465116279069767
16.0	PCA	full	0.5581395348837209
17.0	PCA	full	0.562015503875969
18.0	PCA	full	0.5658914728682171
19.0	PCA	full	0.5813953488372093
20.0	PCA	full	0.5930232558139535
21.0	PCA	full	0.6046511627906976
22.0	PCA	full	0.5968992248062015
23.0	PCA	full	0.5813953488372093
24.0	PCA	full	0.5968992248062015
25.0	PCA	full	0.5930232558139535
26.0	PCA	full	0.5930232558139535
27.0	PCA	full	0.5930232558139535
28.0	PCA	full	0.5968992248062015
29.0	PCA	full	0.6007751937984496
30.0	PCA	full	0.6085271317829457
31.0	PCA	full	0.6085271317829457
32.0	PCA	full	0.6085271317829457
33.0	PCA	full	0.6085271317829457
34.0	PCA	full	0.6085271317829457
35.0	PCA	full	0.6085271317829457
36.0	PCA	full	0.6085271317829457
37.0	PCA	full	0.6085271317829457
38.0	PCA	full	0.6085271317829457
39.0	PCA	full	0.6085271317829457
40.0	PCA	full	0.6085271317829457
41.0	PCA	full	0.6085271317829457
42.0	PCA	full	0.6085271317829457
43.0	PCA	full	0.6085271317829457
44.0	PCA	full	0.6085271317829457
45.0	PCA	full	0.6085271317829457
46.0	PCA	full	0.6085271317829457
47.0	PCA	full	0.6085271317829457
48.0	PCA	full	0.6085271317829457
49.0	PCA	full	0.6085271317829457
50.0	PCA	full	0.6085271317829457
51.0	PCA	full	0.6085271317829457
52.0	PCA	full	0.6085271317829457
53.0	PCA	full	0.6085271317829457
54.0	PCA	full	0.6085271317829457
55.0	PCA	full	0.6085271317829457
56.0	PCA	full	0.6085271317829457
57.0	PCA	full	0.6085271317829457
58.0	PCA	full	0.6085271317829457
59.0	PCA	full	0.6085271317829457
60.0	PCA	full	0.6085271317829457
61.0	PCA	full	0.6085271317829457
62.0	PCA	full	0.6085271317829457
63.0	PCA	full	0.6085271317829457
64.0	PCA	full	0.6085271317829457
65.0	PCA	full	0.6085271317829457
66.0	PCA	full	0.6085271317829457
67.0	PCA	full	0.6085271317829457
68.0	PCA	full	0.6085271317829457
69.0	PCA	full	0.6085271317829457
70.0	PCA	full	0.6085271317829457
71.0	PCA	full	0.6085271317829457
72.0	PCA	full	0.6085271317829457
73.0	PCA	full	0.6085271317829457
74.0	PCA	full	0.6085271317829457
75.0	PCA	full	0.6085271317829457
76.0	PCA	full	0.6085271317829457
77.0	PCA	full	0.6085271317829457
78.0	PCA	full	0.6085271317829457
79.0	PCA	full	0.6085271317829457
80.0	PCA	full	0.6085271317829457
81.0	PCA	full	0.6085271317829457
82.0	PCA	full	0.6085271317829457
83.0	PCA	full	0.6085271317829457
84.0	PCA	full	0.6085271317829457
85.0	PCA	full	0.6085271317829457
86.0	PCA	full	0.6085271317829457
87.0	PCA	full	0.6085271317829457
88.0	PCA	full	0.6085271317829457
89.0	PCA	full	0.6085271317829457
90.0	PCA	full	0.6085271317829457
91.0	PCA	full	0.6085271317829457
92.0	PCA	full	0.6085271317829457
93.0	PCA	full	0.6085271317829457
94.0	PCA	full	0.6085271317829457
95.0	PCA	full	0.6085271317829457
96.0	PCA	full	0.6085271317829457
97.0	PCA	full	0.6085271317829457
98.0	PCA	full	0.6085271317829457
99.0	PCA	full	0.6085271317829457
100.0	PCA	full	0.6085271317829457
101.0	PCA	full	0.6085271317829457
102.0	PCA	full	0.6085271317829457
103.0	PCA	full	0.6085271317829457
104.0	PCA	full	0.6085271317829457
105.0	PCA	full	0.6085271317829457
106.0	PCA	full	0.6085271317829457
107.0	PCA	full	0.6085271317829457
108.0	PCA	full	0.6085271317829457
109.0	PCA	full	0.6085271317829457
110.0	PCA	full	0.6085271317829457
111.0	PCA	full	0.6085271317829457
112.0	PCA	full	0.6085271317829457
113.0	PCA	full	0.6085271317829457
114.0	PCA	full	0.6085271317829457
115.0	PCA	full	0.6085271317829457
116.0	PCA	full	0.6085271317829457
117.0	PCA	full	0.6085271317829457
118.0	PCA	full	0.6085271317829457
119.0	PCA	full	0.6085271317829457
120.0	PCA	full	0.6085271317829457
121.0	PCA	full	0.6085271317829457
122.0	PCA	full	0.6085271317829457
123.0	PCA	full	0.6085271317829457
124.0	PCA	full	0.6085271317829457
125.0	PCA	full	0.6085271317829457
126.0	PCA	full	0.6085271317829457
127.0	PCA	full	0.6085271317829457
128.0	PCA	full	0.6085271317829457
129.0	PCA	full	0.6085271317829457
130.0	PCA	full	0.6085271317829457
131.0	PCA	full	0.6085271317829457
132.0	PCA	full	0.6085271317829457
133.0	PCA	full	0.6085271317829457
134.0	PCA	full	0.6085271317829457
135.0	PCA	full	0.6085271317829457
1.0	PCA	arpack	0.1511627906976744
2.0	PCA	arpack	0.21705426356589147
3.0	PCA	arpack	0.26356589147286824
4.0	PCA	arpack	0.2596899224806202
5.0	PCA	arpack	0.39147286821705424
6.0	PCA	arpack	0.4844961240310077
7.0	PCA	arpack	0.4883720930232558
8.0	PCA	arpack	0.5038759689922481
9.0	PCA	arpack	0.5155038759689923
10.0	PCA	arpack	0.5193798449612403
11.0	PCA	arpack	0.5387596899224806
12.0	PCA	arpack	0.5271317829457365
13.0	PCA	arpack	0.5310077519379846
14.0	PCA	arpack	0.5348837209302325
15.0	PCA	arpack	0.5465116279069767
16.0	PCA	arpack	0.5581395348837209
17.0	PCA	arpack	0.562015503875969
18.0	PCA	arpack	0.5658914728682171
19.0	PCA	arpack	0.5813953488372093
20.0	PCA	arpack	0.5930232558139535
21.0	PCA	arpack	0.6046511627906976
22.0	PCA	arpack	0.5968992248062015
23.0	PCA	arpack	0.5813953488372093
24.0	PCA	arpack	0.5968992248062015
25.0	PCA	arpack	0.5930232558139535
26.0	PCA	arpack	0.5930232558139535
27.0	PCA	arpack	0.5930232558139535
28.0	PCA	arpack	0.5968992248062015
29.0	PCA	arpack	0.6007751937984496
30.0	PCA	arpack	0.6085271317829457
31.0	PCA	arpack	0.6085271317829457
32.0	PCA	arpack	0.6085271317829457
33.0	PCA	arpack	0.6085271317829457
34.0	PCA	arpack	0.6085271317829457
35.0	PCA	arpack	0.6085271317829457
36.0	PCA	arpack	0.6085271317829457
37.0	PCA	arpack	0.6085271317829457
38.0	PCA	arpack	0.6085271317829457
39.0	PCA	arpack	0.6085271317829457
40.0	PCA	arpack	0.6085271317829457
41.0	PCA	arpack	0.6085271317829457
42.0	PCA	arpack	0.6085271317829457
43.0	PCA	arpack	0.6085271317829457
44.0	PCA	arpack	0.6085271317829457
45.0	PCA	arpack	0.6085271317829457
46.0	PCA	arpack	0.6085271317829457
47.0	PCA	arpack	0.6085271317829457
48.0	PCA	arpack	0.6085271317829457
49.0	PCA	arpack	0.6085271317829457
50.0	PCA	arpack	0.6085271317829457
51.0	PCA	arpack	0.6085271317829457
52.0	PCA	arpack	0.6085271317829457
53.0	PCA	arpack	0.6085271317829457
54.0	PCA	arpack	0.6085271317829457
55.0	PCA	arpack	0.6085271317829457
56.0	PCA	arpack	0.6085271317829457
57.0	PCA	arpack	0.6085271317829457
58.0	PCA	arpack	0.6085271317829457
59.0	PCA	arpack	0.6085271317829457
60.0	PCA	arpack	0.6085271317829457
61.0	PCA	arpack	0.6085271317829457
62.0	PCA	arpack	0.6085271317829457
63.0	PCA	arpack	0.6085271317829457
64.0	PCA	arpack	0.6085271317829457
65.0	PCA	arpack	0.6085271317829457
66.0	PCA	arpack	0.6085271317829457
67.0	PCA	arpack	0.6085271317829457
68.0	PCA	arpack	0.6085271317829457
69.0	PCA	arpack	0.6085271317829457
70.0	PCA	arpack	0.6085271317829457
71.0	PCA	arpack	0.6085271317829457
72.0	PCA	arpack	0.6085271317829457
73.0	PCA	arpack	0.6085271317829457
74.0	PCA	arpack	0.6085271317829457
75.0	PCA	arpack	0.6085271317829457
76.0	PCA	arpack	0.6085271317829457
77.0	PCA	arpack	0.6085271317829457
78.0	PCA	arpack	0.6085271317829457
79.0	PCA	arpack	0.6085271317829457
80.0	PCA	arpack	0.6085271317829457
81.0	PCA	arpack	0.6085271317829457
82.0	PCA	arpack	0.6085271317829457
83.0	PCA	arpack	0.6085271317829457
84.0	PCA	arpack	0.6085271317829457
85.0	PCA	arpack	0.6085271317829457
86.0	PCA	arpack	0.6085271317829457
87.0	PCA	arpack	0.6085271317829457
88.0	PCA	arpack	0.6085271317829457
89.0	PCA	arpack	0.6085271317829457
90.0	PCA	arpack	0.6085271317829457
91.0	PCA	arpack	0.6085271317829457
92.0	PCA	arpack	0.6085271317829457
93.0	PCA	arpack	0.6085271317829457
94.0	PCA	arpack	0.6085271317829457
95.0	PCA	arpack	0.6085271317829457
96.0	PCA	arpack	0.6085271317829457
97.0	PCA	arpack	0.6085271317829457
98.0	PCA	arpack	0.6085271317829457
99.0	PCA	arpack	0.6085271317829457
100.0	PCA	arpack	0.6085271317829457
101.0	PCA	arpack	0.6085271317829457
102.0	PCA	arpack	0.6085271317829457
103.0	PCA	arpack	0.6085271317829457
104.0	PCA	arpack	0.6085271317829457
105.0	PCA	arpack	0.6085271317829457
106.0	PCA	arpack	0.6085271317829457
107.0	PCA	arpack	0.6085271317829457
108.0	PCA	arpack	0.6085271317829457
109.0	PCA	arpack	0.6085271317829457
110.0	PCA	arpack	0.6085271317829457
111.0	PCA	arpack	0.6085271317829457
112.0	PCA	arpack	0.6085271317829457
113.0	PCA	arpack	0.6085271317829457
114.0	PCA	arpack	0.6085271317829457
115.0	PCA	arpack	0.6085271317829457
116.0	PCA	arpack	0.6085271317829457
117.0	PCA	arpack	0.6085271317829457
118.0	PCA	arpack	0.6085271317829457
119.0	PCA	arpack	0.6085271317829457
120.0	PCA	arpack	0.6085271317829457
121.0	PCA	arpack	0.6085271317829457
122.0	PCA	arpack	0.6085271317829457
123.0	PCA	arpack	0.6085271317829457
124.0	PCA	arpack	0.6085271317829457
125.0	PCA	arpack	0.6085271317829457
126.0	PCA	arpack	0.6085271317829457
127.0	PCA	arpack	0.6085271317829457
128.0	PCA	arpack	0.6085271317829457
129.0	PCA	arpack	0.6085271317829457
130.0	PCA	arpack	0.6085271317829457
131.0	PCA	arpack	0.6085271317829457
132.0	PCA	arpack	0.6085271317829457
133.0	PCA	arpack	0.6085271317829457
134.0	PCA	arpack	0.6085271317829457
135.0	PCA	arpack	0.6085271317829457
1.0	PCA	randomized	0.1511627906976744
2.0	PCA	randomized	0.21705426356589147
3.0	PCA	randomized	0.26356589147286824
4.0	PCA	randomized	0.2596899224806202
5.0	PCA	randomized	0.3875968992248062
6.0	PCA	randomized	0.49224806201550386
7.0	PCA	randomized	0.4883720930232558
8.0	PCA	randomized	0.5038759689922481
9.0	PCA	randomized	0.5155038759689923
10.0	PCA	randomized	0.5193798449612403
11.0	PCA	randomized	0.5387596899224806
12.0	PCA	randomized	0.5271317829457365
13.0	PCA	randomized	0.5310077519379846
14.0	PCA	randomized	0.5348837209302325
15.0	PCA	randomized	0.5465116279069767
16.0	PCA	randomized	0.5581395348837209
17.0	PCA	randomized	0.562015503875969
18.0	PCA	randomized	0.5658914728682171
19.0	PCA	randomized	0.5775193798449613
20.0	PCA	randomized	0.5930232558139535
21.0	PCA	randomized	0.6046511627906976
22.0	PCA	randomized	0.6007751937984496
23.0	PCA	randomized	0.5813953488372093
24.0	PCA	randomized	0.5968992248062015
25.0	PCA	randomized	0.5930232558139535
26.0	PCA	randomized	0.5930232558139535
27.0	PCA	randomized	0.5930232558139535
28.0	PCA	randomized	0.5968992248062015
29.0	PCA	randomized	0.6007751937984496
30.0	PCA	randomized	0.6085271317829457
31.0	PCA	randomized	0.6085271317829457
32.0	PCA	randomized	0.6085271317829457
33.0	PCA	randomized	0.6085271317829457
34.0	PCA	randomized	0.6046511627906976
35.0	PCA	randomized	0.6085271317829457
36.0	PCA	randomized	0.6085271317829457
37.0	PCA	randomized	0.6085271317829457
38.0	PCA	randomized	0.6085271317829457
39.0	PCA	randomized	0.6085271317829457
40.0	PCA	randomized	0.6085271317829457
41.0	PCA	randomized	0.6085271317829457
42.0	PCA	randomized	0.6085271317829457
43.0	PCA	randomized	0.6085271317829457
